Agency,Country,Activity Name,Start Year,End Year,Implementer,Description,Link to Website,Pre-Primary,Primary,Secondary,Workforce Development,Education Systems Strengthening
USAID,Malawi,Upper Primary Reading (UPRead) activity,2021,2026,Malawi Institute of Education (MIE),UPRead Activity will institute a comprehensive reading materials development system for upper primary to support improved learning outcomes in Standards 5 to 8,https://www.facebook.com/USAIDMalawi/posts/790956718967380,-,X,,,X
USDA,Bangladesh,McGovern-Dole International Food for Education and Child Nutrition,2020,2023,World Food Programme,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level to benefit primary school age children in 138 schools.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,,X,,,
USDA,Benin,McGovern-Dole International Food for Education and Child Nutrition,2017,2022,Catholic Relief Services,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level to benefit primary school age children in 146 schools.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,X,X,,,
USDA,Benin,McGovern-Dole International Food for Education and Child Nutrition,2021,2026,Catholic Relief Services,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level. The project aims to benefit an estimated 111,163 people over the life of the project.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,,x,,,
USDA,Burkina Faso,McGovern-Dole International Food for Education and Child Nutrition,2018,2022,Catholic Relief Services,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level to benefit primary school age children in 852 schools.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,X,X,,,
USDA,Burkina Faso,McGovern-Dole International Food for Education and Child Nutrition,2021,2026,Catholic Relief Services,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level. The project aims to benefit an estimated 112,509 people over the life of the project.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,X,x,,,
USDA,Cameroon,McGovern-Dole International Food for Education and Child Nutrition,2018,2023,Nascent Solutions,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level to benefit pre-primary and primary school age children in 240 schools.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,X,X,,,
USDA,Cote d'Ivoire,McGovern-Dole International Food for Education and Child Nutrition,2020,2025,Catholic Relief Services,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level to benefit primary school age children in 613 schools.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,,x,x,,
USDA,Ethiopia,McGovern-Dole International Food for Education and Child Nutrition,2019,2023,WFP,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level to benefit pre-primary and primary school-age children in 817 schools.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,x,x,,,
USDA,Guatemala,McGovern-Dole International Food for Education and Child Nutrition,2020,2025,Catholic Relief Services,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level to benefit primary school age children in 337 schools.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,X,X,,,
USDA,Guatemala,McGovern-Dole International Food for Education and Child Nutrition,2018,2023,Save the Children,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level to benefit primary school age children in 283 schools.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,X,X,,,
USDA,Guatemala,McGovern-Dole International Food for Education and Child Nutrition,2016,2022,Project Concern International,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level to benefit primary school age children.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,X,X,,,
USDA,Guatemala,McGovern-Dole International Food for Education and Child Nutrition,2021,2026,Global Communities,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level. The project aims to benefit an estimated 94,522 people over the life of the project.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,X,x,,,
USDA,Guinea Bissau,McGovern-Dole International Food for Education and Child Nutrition,2019,2023,Catholic Relief Services,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, nutrition education and capacity building at the local, regional and national level to benefit primary school age children in 600 schools.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,x,x,,,
USDA,Haiti,McGovern-Dole International Food for Education and Child Nutrition,2019,2023,WFP,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level to benefit pre-primary and primary school-age children in 400 schools.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,x,x,,,
USDA,Honduras,McGovern-Dole International Food for Education and Child Nutrition,2020,2025,Catholic Relief Services,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level to benefit primary school age children in 1,040 schools.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,x,X,X,,
USDA,Kenya,McGovern-Dole International Food for Education and Child Nutrition,2016,2022,WFP,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level to benefit pre-primary and primary school-age children.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,x,x,,,
USDA,Kyrgyz Republic,McGovern-Dole International Food for Education and Child Nutrition,2021,2026,Mercy Corps,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level. The project aims to benefit an estimated 107,000 people over the life of the project.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,,x,,,
USDA,Laos,McGovern-Dole International Food for Education and Child Nutrition,2016,2022,Catholic Relief Services,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level to benefit pre-primary and primary school-age children in 348 schools.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,x,x,,,
USDA,Laos,McGovern-Dole International Food for Education and Child Nutrition,2017,2022,World Food Programme,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level to benefit pre-primary and primary school-age children in 1,440 schools.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,x,x,,,
USDA,Laos,McGovern-Dole International Food for Education and Child Nutrition,2019,2024,World Food Programme,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level to benefit pre-primary and primary school-age children in 736 schools.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,x,x,,,
USDA,Laos,McGovern-Dole International Food for Education and Child Nutrition,2021,2026,Catholic Relief Services,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level. The project aims to benefit an estimated 122,063 people over the life of the project.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,X,x,,,
USDA,Liberia,McGovern-Dole International Food for Education and Child Nutrition,2017,2022,Save the Children,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level to benefit pre-primary and primary school-age children in 231 schools.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,X,X,,,
USDA,Liberia,McGovern-Dole International Food for Education and Child Nutrition,2021,2026,Save the Children,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level. The project aims to benefit an estimated 176,958 people over the life of the project.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,x,x,,,
USDA,Madagascar,McGovern-Dole International Food for Education and Child Nutrition,2021,2026,Global Communities,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level. The project aims to benefit an estimated 64,177 people over the life of the project.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,X,x,,,
USDA,Malawi,McGovern-Dole International Food for Education and Child Nutrition,2019,2023,Nascent Solutions,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level to benefit pre-primary and primary school-age children in 187 schools.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,x,x,,,
USDA,Mali,McGovern-Dole International Food for Education and Child Nutrition,2020,2025,Catholic Relief Services,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level to benefit pre-primary and primary school age children in 267 schools.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,X,X,,,
USDA,Mauritania,McGovern-Dole International Food for Education and Child Nutrition,2019,2024,Counterpart International,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level to benefit primary school age children in 209 schools.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,,X,,,
USDA,Mozambique,McGovern-Dole International Food for Education and Child Nutrition,2019,2024,World Vision,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level to benefit primary school age children in 160 schools.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,X,X,,,
USDA,Mozambique,McGovern-Dole International Food for Education and Child Nutrition,2020,2025,Counterpart International,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level to benefit primary school age children in 203 schools.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,,X,,,
USDA,Nepal,McGovern-Dole International Food for Education and Child Nutrition,2020,2024,World Food Programme,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level to benefit primary school age children in 2297 schools.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,X,X,,,
USDA,Nicaragua,McGovern-Dole International Food for Education and Child Nutrition,2017,2023,Project Concern International,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level to benefit pre-primary and primary school-age children in 1,115 schools.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,x,x,,,
USDA,Republic of Congo,McGovern-Dole International Food for Education and Child Nutrition,2017,2022,World Food Programme,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level to benefit primary school age children in 470 schools.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,,X,,,
USDA,Republic of Congo,McGovern-Dole International Food for Education and Child Nutrition,2021,2026,World Food Programme,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level. The project aims to benefit an estimated 68,246 people over the life of the project.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,X,x,,,
USDA,Rwanda,McGovern-Dole International Food for Education and Child Nutrition,2020,2025,World Food Programme,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level to benefit primary school age children in 135 schools.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,X,X,,,
USDA,Senegal,McGovern-Dole International Food for Education and Child Nutrition,2018,2022,Counterpart International,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level to benefit pre-primary and primary school age children in 270 schools.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,X,X,,,
USDA,Senegal,McGovern-Dole International Food for Education and Child Nutrition,2021,2026,Counterpart International,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level. The project aims to benefit an estimated 150,525 people over the life of the project.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,X,x,,,
USDA,Sierra Leone,McGovern-Dole International Food for Education and Child Nutrition,2018,2023,Catholic Relief Services,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level to benefit primary school age children in 309 schools.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,X,X,,,
USDA,Sierra Leone,McGovern-Dole International Food for Education and Child Nutrition,2021,2025,Catholic Relief Services,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level. The project aims to benefit an estimated 73,738 people over the life of the project.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,X,x,,,
USDA,Sri Lanka,McGovern-Dole International Food for Education and Child Nutrition,2018,2023,Save the Children,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level to benefit primary school-age children in 887 schools.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,,x,,,
USDA,Timor Leste,McGovern-Dole International Food for Education and Child Nutrition,2018,2023,CARE,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level to benefit primary school age children in 220 schools.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,X,X,,,
USDA,Togo,McGovern-Dole International Food for Education and Child Nutrition,2019,2024,Catholic Relief Services,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level to benefit primary school age children in 138 schools.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,X,X,,,
USDA,Uzbekistan,McGovern-Dole International Food for Education and Child Nutrition,2019,2024,Mercy Corps,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level to benefit pre-primary school age children in 410 schools.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,X,,,,
USDA,Cambodia,McGovern-Dole International Food for Education and Child Nutrition (MGD),2019,2024,World Food Programme,"This activity reduces hunger and improves literacy and primary education through the provision of a daily school meal. Additional activities include teacher training, WASH, nutrition education and capacity building at the local, regional and national level to benefit primary school age children in 599 schools.",https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,X,X,,,
USAID,South Sudan,"Education for Peace, Recovery, and Resilience",2020,2023,FHI 360,a FAL.,"https://www.fhi360.org/projects/education-peace-recovery-and-resilience-eprr#:~:text=The%20USAID%20South%20Sudan%20Education,and%20youth%20affected%20by%20conflict.&text=EPRR%20is%20implemented%20through%20an,peacebuilding%20and%20the%20local%20context.",X,X,,,
USAID,Democratic Republic of the Congo,Elimu ni Jibu,2020,2025,Family Health International 360 (FHI)/International Rescue Committee (IRC),"This activity supports the learning needs of children and youth living in crisis and conflict- affected communities of Ituri, North Kivu, and South Kivu. They also deliver rapid education services in other provinces.",https://www.fhi360.org/projects/elimu-ni-jibu,,,,,
USAID,Ghana,Learning Activity National Reading Radio Program (NRRP),2020,2022,FHI360,This activity provides primary grade Transition to English and Ghananian language reading radio lessons to over 2 million families via national and local radio stations. Worksheets were distributed nationally to families 3 times during the implementation. Results on the English lessons indicate a positive impact on student learning for those reporting that they listened to lessons.,https://www.fhi360.org/projects/usaid-partnership-education-learning,,X,,,
USAID,Senegal,Equitable Access to Education in Southern Senegal (Passerelles),2018,2023,FHI360,"This activity aims to develop essential life skills by providing increased equitable access to relevant formal and complementary basic education opportunities that respond to target populations, maximize the number of children served, build on past community efforts, include marginalized populations, and prevent school-related gender-based violence.",https://www.fhi360.org/projects/usaid-passerelles-senegal,-,X,X,X,X
USAID,Bangladesh,Community Partnerships to Strengthen Sustainable Development (Compass),2019,2024,United States Forest Service (USFS),"This activity is an interagency agreement with United States Forest Service (USFS). USFS will undertake natural resource management efforts in Bangladesh, including but not limited to Establishing a Youth Conservation Corps of Bangladesh.",https://www.fs.usda.gov/about-agency/international-programs/where-we-work/asia-pacific,,,X,X,
USAID,Jordan,USAID YOUTHPOWER Jordan Activity,2017,2022,Global Communities,"This activity implements youth agency and empowerment activities to produce engaged citizens and productive members of society, focused on young people between the ages of 10-29 from all backgrounds, and with national and local service providers to leave behind sustainable, community-based resources and avenues for engagement in targeted partner communities.",https://www.globalcommunities.org/usaid-jordan-youthpower,-,X,X,X,
USAID,Jordan,Pre-service Teacher Education in Jordan ,2020,2025,IREX,This activity aims to increase the number of qualified 4-10 grade male and female teachers in Jordan.,https://www.irex.org/project/usaid-preservice-teacher-education-jordan,-,,,,X
USAID,South Africa,Grade R in Gauteng: Language and Mathematics Improvement Program for Gauteng,2021,2025,Joint Education Trust (JET),"This Activity seeks to provide Grade R teachers with an understanding of the mathematics and language concepts and pedagogy that underpin the South African Grade R Curriculum Assessment Policy Statement (CAPS) so that they can engage learners and help them comprehend these fundamental concepts. 
",https://www.jet.org.za/clearinghouse/projects/grade-r-maths-and-language-improvement-project,X,,,,
USAID,Ethiopia,Health Workforce Improvement Program (HWIP),2020,2025,JHPIEGO Corporation,"This activity works closely with the Ministry of Health and MOSHE to address critical human resources challenges in Ethiopia’s health sector by optimizing health workforce production, performance, and management across all levels of the system.",https://www.jhpiego.org/countries-we-support/ethiopia/?printMode=true,-,,,X,X
USAID,South Africa,PERFORMANCE,2017,2022,Khulisa Management Services,"This activity will deliver a range of evaluations including impact studies of interventions, implementation evaluations of provincial roll-outs, data collection for establishing reading benchmarks in African languages, literature reviews of relevant research, and meta-analyses of results across interventions. ",https://www.khulisa.com/our-work/services/,X,X,,,X
USAID,South Africa,PERFORMANCE Task Order 2 - Design and Delivery,2019,2022,Khulisa Management Services,"This activity will administer core support services for the PERFORMANCE IDIQ such as programmatic and financial reports and will produce design reports to be used for the development of future task order for research and/or community-strengthening activities through a process of desk reviews, stakeholder dialogues, and other scoping and research activities.",https://www.khulisa.com/project/khulisa-awarded-usaid-education-task-order/,-,X,,,X
MCC,Côte d’Ivoire,Côte d’Ivoire Compact (2019-2024): Skills for Employment and Productivity Project,2019,2024,MCA-Côte d’Ivoire,"The activity is comprised of two activities. The Secondary Education Activity will establish up to 84 new secondary schools and two teacher training campuses, redesign the pre-service teacher training curriculum, develop a national gender policy for the education sector, and support an integrated EMIS. The TVET Activity will establish up to four new TVET centers to be developed and managed through public-private partnerships with local industries.",https://www.mcc.gov/where-we-work/program/cote-divoire-compact,,,X,X,X
MCC,Morocco,Morocco II Compact: Education and Training for Employability Project,2017,2023,MCA-Morocco,The activity is comprised of two activities. The Secondary Education Activity is improving the quality of secondary education by piloting a participatory approach to school improvement in 90 schools across three regions of Morocco. The Workforce Development Activity is increasing the quality and relevance of 15 TVET centers and promoting TVET policy reform.,https://www.mcc.gov/where-we-work/program/morocco-employability-and-land-compact,,,X,X,X
USAID,West Bank Gaza,Positive Engagement Activity,2021,2026,Mercy Corps,"Positive Youth Engagement (PYE) is a five-year multi-sectoral youth activity designed to address the core issues of Palestinian youth development. PYE supports 50,000 vulnerable and marginalized youth aged 10-19 with services that improve education, health, access to employment opportunities, and community involvement through: (1)  psychosocial, career guidance, life skills, and civic education activities; (2)  technical and vocational education and training (TVET) programs, internships, and entrepreneurship support; and (3) youth-led clubs and councils, community and social media advocacy campaigns, and mentorship opportunities.

 ",https://www.mercycorps.org/where-we-work/palestine-west-bank-gaza,,,X,,
USAID,Philippines,YouthWorks PH,2018,2023,"Philippine Business for Education, Ic. (PBED)",This activity aims to improve access to training and employment opportunities for youth NEET and to enable private sector engagement in workforce development.,https://www.pbed.ph/youthworksph,-,,X,X,X
USAID,Pakistan,Khyber Pakthunkhwa Reconstruction Program (KPRP),2010,2023,Host Government (Provincial Disaster Management Authority of Khyber Pakhtunkhwa Government),KPRP is a US$ 100M USAID-funded activity (2010-2023) aims to reconstruct the militancy and flood affected social infrastructure including schools in the Khyber Pakhtunkhwa province of Pakistan.,https://www.pdma.gov.pk/PORTFOLIO,,X,X,,X
Peace Corps,Uganda,Early Childhood Literacy,2021,2027,Peace Corps,"Peace Corps Volunteers (co-) plan, teach, and/or facilitate counterpart capacity building, student achievement, and community support for access for learning.",https://www.peacecorps.gov/countries/,,X,x,x,
Peace Corps,Dominican Republic,Education,2019,2025,Peace Corps,"Peace Corps Volunteers (co-) plan, teach, and/or facilitate counterpart capacity building, student achievement, and community support for access for learning.",https://www.peacecorps.gov/countries/,,x,,,
Peace Corps,Liberia,Education – Literacy Sector,2021,2028,Peace Corps,"Peace Corps Volunteers (co-) plan, teach, and/or facilitate counterpart capacity building, student achievement, and community support for access for learning.",https://www.peacecorps.gov/countries/,,x,X,,
Peace Corps,Kenya,Education for the Deaf (E4D),2021,2029,Peace Corps,"Peace Corps Volunteers (co-) plan, teach, and/or facilitate counterpart capacity building, student achievement, and community support for access for learning.",https://www.peacecorps.gov/countries/,,x,x,,
Peace Corps,Comoros (Certificate),Education TEFL,2022,2029,Peace Corps,"Peace Corps Volunteers (co-) plan, teach, and/or facilitate counterpart capacity building, student achievement, and community support for access for learning.",https://www.peacecorps.gov/countries/,,,X,,
Peace Corps,Costa Rica,English and Culture for Opportunities,2019,2028,Peace Corps,"Peace Corps Volunteers (co-) plan, teach, and/or facilitate counterpart capacity building, student achievement, and community support for access for learning.",https://www.peacecorps.gov/countries/,,x,X,X,
Peace Corps,North Macedonia,English and Inclusive Edication,2019,2027,Peace Corps,"Peace Corps Volunteers (co-) plan, teach, and/or facilitate counterpart capacity building, student achievement, and community support for access for learning.",https://www.peacecorps.gov/countries/,,,x,X,
Peace Corps,Malawi,English as a Second Language,2022,2029,Peace Corps,"Peace Corps Volunteers (co-) plan, teach, and/or facilitate counterpart capacity building, student achievement, and community support for access for learning.",https://www.peacecorps.gov/countries/,,,x,X,
Peace Corps,Moldova,English Education,2019,2026,Peace Corps,"Peace Corps Volunteers (co-) plan, teach, and/or facilitate counterpart capacity building, student achievement, and community support for access for learning.",https://www.peacecorps.gov/countries/,,,x,X,
Peace Corps,Mongolia,English Education/Community Development,2020,2028,Peace Corps,"Peace Corps Volunteers (co-) plan, teach, and/or facilitate counterpart capacity building, student achievement, and community support for access for learning.",https://www.peacecorps.gov/countries/,,,x,X,
Peace Corps,Tonga,English language Development Project,2020,2027,Peace Corps,"Peace Corps Volunteers (co-) plan, teach, and/or facilitate counterpart capacity building, student achievement, and community support for access for learning.",https://www.peacecorps.gov/countries/,,x,x,,
Peace Corps,Sri Lanka,English Language Education Project,2019,2026,Peace Corps,"Peace Corps Volunteers (co-) plan, teach, and/or facilitate counterpart capacity building, student achievement, and community support for access for learning.",https://www.peacecorps.gov/countries/,,,x,,
Peace Corps,Cambodia,English Teaching & Teacher Training,2019,2026,Peace Corps,"Peace Corps Volunteers (co-) plan, teach, and/or facilitate counterpart capacity building, student achievement, and community support for access for learning.",https://www.peacecorps.gov/countries/,,,X,X,
Peace Corps,Georgia,EYE for the Future,2021,2030,Peace Corps,"Peace Corps Volunteers (co-) plan, teach, and/or facilitate counterpart capacity building, student achievement, and community support for access for learning.",https://www.peacecorps.gov/countries/,,,X,X,
Peace Corps,The Gambia,Improving Literacy and Numeracy,2020,2027,Peace Corps,"Peace Corps Volunteers (co-) plan, teach, and/or facilitate counterpart capacity building, student achievement, and community support for access for learning.",https://www.peacecorps.gov/countries/,,x,,,
Peace Corps,Vanuatu,Literacy (Leftemap Litrisi),2021,2027,Peace Corps,"Peace Corps Volunteers (co-) plan, teach, and/or facilitate counterpart capacity building, student achievement, and community support for access for learning.",https://www.peacecorps.gov/countries/,,x,,,
Peace Corps,South Africa,Literacy Enrichment Project (LEP),2019,2026,Peace Corps,"Peace Corps Volunteers (co-) plan, teach, and/or facilitate counterpart capacity building, student achievement, and community support for access for learning.",https://www.peacecorps.gov/countries/,,x,,,
Peace Corps,Cameroon,Math & Science,2020,2027,Peace Corps,"Peace Corps Volunteers (co-) plan, teach, and/or facilitate counterpart capacity building, student achievement, and community support for access for learning.",https://www.peacecorps.gov/countries/,,,X,,
Peace Corps,Kenya,Math & Science,2021,2029,Peace Corps,"Peace Corps Volunteers (co-) plan, teach, and/or facilitate counterpart capacity building, student achievement, and community support for access for learning.",https://www.peacecorps.gov/countries/,,x,x,,
Peace Corps,Liberia,Math & Science,2021,2028,Peace Corps,"Peace Corps Volunteers (co-) plan, teach, and/or facilitate counterpart capacity building, student achievement, and community support for access for learning.",https://www.peacecorps.gov/countries/,,,X,,
Peace Corps,Namibia,Math & Science,2021,2027,Peace Corps,"Peace Corps Volunteers (co-) plan, teach, and/or facilitate counterpart capacity building, student achievement, and community support for access for learning.",https://www.peacecorps.gov/countries/,,,x,,
Peace Corps,Sierra Leone,Math & Science in Sierra Leone (MASS),2021,2028,Peace Corps,"Peace Corps Volunteers (co-) plan, teach, and/or facilitate counterpart capacity building, student achievement, and community support for access for learning.",https://www.peacecorps.gov/countries/,,,x,,
Peace Corps,Guinea,Math&Science/STEM,2022,2028,Peace Corps,"Peace Corps Volunteers (co-) plan, teach, and/or facilitate counterpart capacity building, student achievement, and community support for access for learning.",https://www.peacecorps.gov/countries/,,,X,,
Peace Corps,Lesotho,"Path towards Proficiency in Literacy, Numeracy, and Life Skills",2020,2027,Peace Corps,"Peace Corps Volunteers (co-) plan, teach, and/or facilitate counterpart capacity building, student achievement, and community support for access for learning.",https://www.peacecorps.gov/countries/,,x,,x,
Peace Corps,Rwanda,PC Rwanda TEFL and Teacher Support,2020,2026,Peace Corps,"Peace Corps Volunteers (co-) plan, teach, and/or facilitate counterpart capacity building, student achievement, and community support for access for learning.",https://www.peacecorps.gov/countries/,,,x,,
Peace Corps,Eastern Caribbean,Primary English Literacy Resource Volunteers,2021,2028,Peace Corps,"Peace Corps Volunteers (co-) plan, teach, and/or facilitate counterpart capacity building, student achievement, and community support for access for learning.",https://www.peacecorps.gov/countries/,,x,x,x,
Peace Corps,Jamaica,Primary Literacy,2016,2027,Peace Corps,"Peace Corps Volunteers (co-) plan, teach, and/or facilitate counterpart capacity building, student achievement, and community support for access for learning.",https://www.peacecorps.gov/countries/,,x,,,
Peace Corps,Guyana,Read to Achieve,2018,2024,Peace Corps,"Peace Corps Volunteers (co-) plan, teach, and/or facilitate counterpart capacity building, student achievement, and community support for access for learning.",https://www.peacecorps.gov/countries/,,X,,,
Peace Corps,Zambia,Rural Education Development Project (Certificate),2017,2023,Peace Corps,"Peace Corps Volunteers (co-) plan, teach, and/or facilitate counterpart capacity building, student achievement, and community support for access for learning.",https://www.peacecorps.gov/countries/,,x,x,X,
Peace Corps,Samoa,Rural Primary School Literacy,2021,2023,Peace Corps,"Peace Corps Volunteers (co-) plan, teach, and/or facilitate counterpart capacity building, student achievement, and community support for access for learning.",https://www.peacecorps.gov/countries/,,x,x,,
Peace Corps,Tazania,Secondary Education,2019,2026,Peace Corps,"Peace Corps Volunteers (co-) plan, teach, and/or facilitate counterpart capacity building, student achievement, and community support for access for learning.",https://www.peacecorps.gov/countries/,,,x,,
